name,genre,score,director,star,budget_x,gross_x,director_name,actor_2_name,gross_y,genres,actor_1_name,movie_title,budget_y,imdb_score,Director,Actors,Total_Gross,main_genre,budget,id,imdb_id,original_language,original_title,revenue
Brick Mansions,Action,5.7,Camille Delamarre,Paul Walker,28000000.0,71416730.0,Camille Delamarre,Robert Maillet,20285518.0,Action|Crime|Drama|Thriller,Paul Walker,Brick Mansions,28000000.0,5.7,,,,,,,,,,
The Monuments Men,Comedy,6.1,George Clooney,George Clooney,70000000.0,156706638.0,George Clooney,Matt Damon,78031620.0,Drama|War,Bill Murray,The Monuments Men,70000000.0,6.1,,,,,,,,,,
How to Train Your Dragon 2,Animation,7.8,Dean DeBlois,Jay Baruchel,145000000.0,621537519.0,Dean DeBlois,Djimon Hounsou,176997107.0,Action|Adventure|Animation|Comedy|Family|Fantasy,Gerard Butler,How to Train Your Dragon 2,145000000.0,7.9,,,,,,,,,,
Noah,Action,5.7,Darren Aronofsky,Russell Crowe,125000000.0,359200044.0,Darren Aronofsky,Emma Watson,101160529.0,Action|Adventure|Drama,Anthony Hopkins,Noah,125000000.0,5.8,,,,,,,,,,
A Walk Among the Tombstones,Action,6.5,Scott Frank,Liam Neeson,28000000.0,58834384.0,Scott Frank,Boyd Holbrook,25977365.0,Crime|Drama|Mystery|Thriller,Liam Neeson,A Walk Among the Tombstones,28000000.0,6.5,,,,,,,,,,
Need for Speed,Action,6.4,Scott Waugh,Aaron Paul,66000000.0,203277636.0,Scott Waugh,Dominic Cooper,43568507.0,Action|Crime|Drama|Thriller,Rami Malek,Need for Speed,66000000.0,6.5,,,,,,,,,,
Rio 2,Animation,6.3,Carlos Saldanha,Jesse Eisenberg,103000000.0,498781117.0,Carlos Saldanha,Rachel Crow,131536019.0,Adventure|Animation|Comedy|Family|Musical,Miguel Ferrer,Rio 2,103000000.0,6.4,,,,,,,,,,
Seventh Son,Action,5.5,Sergei Bodrov,Ben Barnes,95000000.0,114178613.0,Sergey Bodrov,Djimon Hounsou,17176900.0,Action|Adventure|Fantasy,Jeff Bridges,Seventh Son,95000000.0,5.5,,,,,,,,,,
Exodus: Gods and Kings,Action,6.0,Ridley Scott,Christian Bale,140000000.0,268175631.0,Ridley Scott,María Valverde,65007045.0,Action|Adventure|Drama,Christian Bale,Exodus: Gods and Kings,140000000.0,6.1,,,,,,,,,,
A Million Ways to Die in the West,Comedy,6.1,Seth MacFarlane,Seth MacFarlane,40000000.0,87189756.0,Seth MacFarlane,Charlize Theron,42615685.0,Comedy|Western,Liam Neeson,A Million Ways to Die in the West,40000000.0,6.1,,,,,,,,,,
Sabotage,Action,5.7,David Ayer,Arnold Schwarzenegger,35000000.0,22126842.0,David Ayer,Martin Donovan,10499968.0,Action|Crime|Drama|Thriller,Mireille Enos,Sabotage,35000000.0,5.7,,,,,,,,,,
Paddington,Animation,7.2,Paul King,Hugh Bonneville,55000000.0,282377683.0,Paul King,Matt Lucas,76137505.0,Animation|Comedy|Family|Fantasy,Julie Walters,Paddington,55000000.0,7.2,,,,,,,,,,
Non-Stop,Action,6.9,Jaume Collet-Serra,Liam Neeson,50000000.0,222809600.0,Jaume Collet-Serra,Nate Parker,91439400.0,Action|Mystery|Thriller,Liam Neeson,Non-Stop,50000000.0,7.0,,,,,,,,,,
The Best of Me,Drama,6.7,Michael Hoffman,James Marsden,26000000.0,38609668.0,Michael Hoffman,Gerald McRaney,26761283.0,Drama|Romance,Luke Bracey,The Best of Me,26000000.0,6.7,,,,,,,,,,
Horrible Bosses 2,Comedy,6.3,Sean Anders,Jason Bateman,42000000.0,107645357.0,Sean Anders,Christoph Waltz,54414716.0,Comedy|Crime,Kevin Spacey,Horrible Bosses 2,42000000.0,6.3,,,,,,,,,,
This Is Where I Leave You,Comedy,6.6,Shawn Levy,Jason Bateman,19800000.0,41296320.0,Shawn Levy,Abigail Spencer,34290142.0,Comedy|Drama,Tina Fey,This Is Where I Leave You,19800000.0,6.6,,,,,,,,,,
Into the Storm,Action,5.8,Steven Quale,Richard Armitage,50000000.0,161502194.0,Steven Quale,Alycia Debnam-Carey,47553512.0,Action|Thriller,Matt Walsh,Into the Storm,50000000.0,5.8,,,,,,,,,,
Penguins of Madagascar,Animation,6.7,Eric Darnell,Tom McGrath,132000000.0,373515621.0,Eric Darnell,Annet Mahendru,83348920.0,Adventure|Animation|Comedy|Family,Benedict Cumberbatch,Penguins of Madagascar,132000000.0,6.7,,,,,,,,,,
Jack Ryan: Shadow Recruit,Action,6.2,Kenneth Branagh,Chris Pine,60000000.0,135503748.0,Kenneth Branagh,Nonso Anozie,50549107.0,Action|Drama|Thriller,Colm Feore,Jack Ryan: Shadow Recruit,60000000.0,6.2,,,,,,,,,,
The Book of Life,Animation,7.3,Jorge R. Gutiérrez,Diego Luna,50000000.0,99783556.0,Jorge R. Gutiérrez,Hector Elizondo,50150619.0,Adventure|Animation|Comedy|Family|Fantasy|Romance,Channing Tatum,The Book of Life,50000000.0,7.3,,,,,,,,,,
The November Man,Action,6.3,Roger Donaldson,Pierce Brosnan,15000000.0,39661919.0,Roger Donaldson,Akie Kotabe,24984868.0,Action|Crime|Thriller,Luke Bracey,The November Man,15000000.0,6.3,,,,,,,,,,
Dracula Untold,Action,6.3,Gary Shore,Luke Evans,70000000.0,217124280.0,Gary Shore,Sarah Gadon,55942830.0,Action|Drama|Fantasy|Horror|War,Dominic Cooper,Dracula Untold,70000000.0,6.3,,,,,,,,,,
Unfriended,Horror,5.5,Levan Gabriadze,Heather Sossaman,1000000.0,62882090.0,Levan Gabriadze,Renee Olstead,31537320.0,Horror|Mystery|Thriller,Shelley Hennig,Unfriended,1000000.0,5.7,,,,,,,,,,
I Origins,Drama,7.4,Mike Cahill,Michael Pitt,1000000.0,481234.0,Mike Cahill,Cara Seymour,334658.0,Drama|Romance|Sci-Fi,Steven Yeun,I Origins,,7.3,,,,,,,,,,
Transcendence,Action,6.2,Wally Pfister,Johnny Depp,100000000.0,103039258.0,Wally Pfister,Morgan Freeman,23014504.0,Drama|Mystery|Romance|Sci-Fi|Thriller,Johnny Depp,Transcendence,100000000.0,6.3,,,,,,,,,,
Before I Go to Sleep,Drama,6.4,Rowan Joffe,Nicole Kidman,22000000.0,17669776.0,Rowan Joffe,Ben Crompton,2963012.0,Drama|Mystery|Thriller,Colin Firth,Before I Go to Sleep,22000000.0,6.3,,,,,,,,,,
Deliver Us from Evil,Action,6.2,Scott Derrickson,Eric Bana,30000000.0,87937815.0,Scott Derrickson,Dorian Missick,30523568.0,Horror|Mystery|Thriller,Olivia Munn,Deliver Us from Evil,30000000.0,6.2,,,,,,,,,,
Taken 3,Action,6.0,Olivier Megaton,Liam Neeson,48000000.0,326479141.0,Olivier Megaton,Dougray Scott,89253340.0,Action|Thriller,Liam Neeson,Taken 3,48000000.0,6.0,,,,,,,,,,
Pompeii,Action,5.5,Paul W.S. Anderson,Kit Harington,100000000.0,117831631.0,Paul W.S. Anderson,Currie Graham,23219748.0,Action|Adventure|Drama|History|Romance,Sasha Roiz,Pompeii,80000000.0,5.6,,,,,,,,,,
Ride Along,Action,6.2,Tim Story,Ice Cube,25000000.0,154468902.0,Tim Story,Tika Sumpter,134141530.0,Action|Comedy|Crime|Romance,Bruce McGill,Ride Along,25000000.0,6.2,,,,,,,,,,
That Awkward Moment,Comedy,6.1,Tom Gormican,Zac Efron,8000000.0,45640143.0,Tom Gormican,Lola Glaudini,26049082.0,Comedy|Romance,Mackenzie Davis,That Awkward Moment,8000000.0,6.1,,,,,,,,,,
