Feature,Score
director_Craig Gillespie,0.581820401203939
director_Craig Mazin,0.2593247293302453
director_Craig R. Baxley,0.7237892882914365
director_Craig Zobel,0.60196597799874
director_Curtis Hanson,0.16423493817322612
director_D.J. Caruso,0.11415858795502062
director_DJ Pooh,0.24654743927022763
director_Daisy von Scherler Mayer,0.3009963159216342
director_Dallas Jenkins,0.29033591076850246
director_Damian Harris,0.28252636895685224
director_Damian Nieman,0.30107407786552864
director_Damiano Damiani,0.23447456773373898
director_Damien Chazelle,0.8235303920856258
director_Damián Szifron,0.15018997852913163
director_Damon Santostefano,0.24474243169922788
director_Dan Aykroyd,0.25591131940151984
director_Dan Bradley,0.07790737186050949
director_Dan Fogelman,0.5018653516955048
director_Dan Gilroy,0.3040163918449004
director_Dan Ireland,0.30156261051097
director_Dan Kwan,0.27541606283249126
director_Dan Mazer,0.0023899175040376845
director_Dan O'Bannon,0.22575097983736553
director_Dan Rush,0.2873965555290593
director_Dan Scanlon,11.71270472025426
director_Dan Trachtenberg,0.0013916700284596559
director_Daniel Attias,0.23536972431953393
director_Daniel Barber,0.24579444968217398
director_Daniel Barnz,0.36871327578014895
director_Daniel Espinosa,0.0013415114327091937
director_Daniel Lee,0.010702767865009804
director_Daniel Myrick,0.6027613154259269
director_Daniel Petrie,0.46831852759686937
director_Daniel Petrie Jr.,0.22152895143680196
director_Daniel Sackheim,0.18066001414551258
director_Daniel Schechter,0.29525717512438704
director_Daniel Stamm,0.032559219801734915
director_Daniel Stern,0.06224261740820276
director_Daniel Waters,0.29657783793825554
director_Danny Boyle,0.030494092130232305
director_Danny Cannon,0.1571546175277483
director_Danny DeVito,0.45938755081603655
director_Danny Leiner,0.17043040608880083
director_Danny Pang,0.16909261184308383
director_Danny Steinmann,0.18840822190257664
director_Dario Argento,0.30171591507047885
director_Darnell Martin,0.2537343321842942
director_Darren Aronofsky,0.02762654212188068
director_Darren Grant,0.07879836179563296
director_Darren Lynn Bousman,0.010981462714541389
director_Darren Stein,0.285701113166326
director_Daryl Duke,0.28064273574311865
director_Dave Filoni,0.03481205659955847
director_Dave Green,0.5780198049942297
director_Dave McKean,0.29868873594411954
director_Dave Meyers,0.17266983495638713
director_David Anspaugh,0.4178890606240262
director_David Atkins,0.28903686153701896
director_David Ayer,1.137021052505521
director_David Bowers,0.06664614816593473
director_David Carson,0.006278649907350057
director_David Chase,0.30003608324990183
director_David Cronenberg,2.3790164237958247
director_David Dobkin,0.001360597771907158
director_David F. Sandberg,2.4895786901197243
director_David Fincher,3.5202883018937636
