name,genre,score,director,budget_x,gross_x,actor_2_name,gross_y,actor_1_name,budget_y,gross,budget
Torque,Action,4.1,Joseph Kahn,40000000.0,46546197.0,Jay Hernandez,21176322.0,Dane Cook,40000000.0,46546197.0,40000000.0
Ray,Biography,7.7,Taylor Hackford,40000000.0,123971376.0,Curtis Armstrong,75305995.0,Bokeem Woodbine,40000000.0,123971376.0,40000000.0
Chasing Liberty,Comedy,6.1,Andy Cadiff,23000000.0,12313323.0,Stark Sands,12189514.0,Annabella Sciorra,23000000.0,12313323.0,23000000.0
Secret Window,Drama,6.5,David Koepp,40000000.0,92913171.0,Charles S. Dutton,47781388.0,Johnny Depp,40000000.0,92913171.0,40000000.0
Bride & Prejudice,Comedy,6.2,Gurinder Chadha,7000000.0,24716440.0,Martin Henderson,6601079.0,Indira Varma,7000000.0,24716440.0,7000000.0
Finding Neverland,Biography,7.7,Marc Forster,25000000.0,116650613.0,Kate Winslet,51676606.0,Johnny Depp,25000000.0,116650613.0,25000000.0
Team America: World Police,Action,7.2,Trey Parker,32000000.0,50826898.0,Maurice LaMarche,32774834.0,Jeremy Shada,30000000.0,50826898.0,30000000.0
Sleepover,Comedy,5.4,Joe Nussbaum,10000000.0,10143022.0,Alexa PenaVega,8070311.0,Steve Carell,10000000.0,10143022.0,10000000.0
The Grudge,Horror,5.9,Takashi Shimizu,10000000.0,187281115.0,Clea DuVall,110175871.0,Sarah Michelle Gellar,10000000.0,187281115.0,10000000.0
Around the World in 80 Days,Action,5.9,Frank Coraci,110000000.0,72178895.0,Steve Coogan,24004159.0,Jim Broadbent,110000000.0,72178895.0,110000000.0
Wimbledon,Comedy,6.3,Richard Loncraine,31000000.0,41682237.0,Jon Favreau,16831505.0,Kirsten Dunst,31000000.0,41682237.0,31000000.0
The Adventures of Sharkboy and Lavagirl 3-D,Action,3.7,Robert Rodriguez,50000000.0,71992655.0,Kristin Davis,39177541.0,Taylor Lautner,50000000.0,71992655.0,50000000.0
The Polar Express,Animation,6.6,Robert Zemeckis,165000000.0,314215454.0,Eddie Deezen,665426.0,Tom Hanks,165000000.0,314215454.0,165000000.0
Without a Paddle,Adventure,5.9,Steven Brill,19000000.0,73029190.0,Scott Adsit,58156435.0,Antony Starr,19000000.0,73029190.0,19000000.0
Miracle,Biography,7.5,Gavin O'Connor,28000000.0,64445708.0,Noah Emmerich,64371181.0,Eddie Cahill,28000000.0,64445708.0,28000000.0
Mindhunters,Crime,6.4,Renny Harlin,27000000.0,21148829.0,Clifton Collins Jr.,4476235.0,LL Cool J,27000000.0,21148829.0,27000000.0
Wicker Park,Drama,7.0,Paul McGuigan,30000000.0,21741598.0,Christopher Cousins,12831121.0,Jessica Paré,30000000.0,21741598.0,30000000.0
Cellular,Action,6.5,David R. Ellis,25000000.0,57678321.0,Valerie Cruz,32003620.0,Richard Burgi,25000000.0,57678321.0,25000000.0
Kinsey,Biography,7.1,Bill Condon,11000000.0,17050017.0,Oliver Platt,10214647.0,Liam Neeson,11000000.0,17050017.0,11000000.0
Anacondas: The Hunt for the Blood Orchid,Action,4.7,Dwight H. Little,20000000.0,70992898.0,Salli Richardson-Whitfield,31526393.0,Nicholas Gonzalez,25000000.0,70992898.0,25000000.0
Confessions of a Teenage Drama Queen,Comedy,4.7,Sara Sugarman,15000000.0,33251890.0,Carol Kane,29302097.0,Adam Garcia,15000000.0,33251890.0,15000000.0
Raising Helen,Comedy,6.0,Garry Marshall,50000000.0,49718611.0,Felicity Huffman,37486138.0,Amber Valletta,50000000.0,49718611.0,50000000.0
Fat Albert,Comedy,4.3,Joel Zwick,26000000.0,48551322.0,Nick Zano,48114556.0,Dania Ramirez,26000000.0,48551322.0,26000000.0
Sky Captain and the World of Tomorrow,Action,6.0,Kerry Conran,70000000.0,57947036.0,Laurence Olivier,37760080.0,Angelina Jolie Pitt,70000000.0,57947036.0,70000000.0
The Stepford Wives,Comedy,5.3,Frank Oz,90000000.0,103370127.0,Matthew Broderick,59475623.0,Jon Lovitz,90000000.0,103370127.0,90000000.0
Shall We Dance,Comedy,6.1,Peter Chelsom,50000000.0,170128460.0,Nick Cannon,57887882.0,Lisa Ann Walter,50000000.0,170128460.0,50000000.0
House of Flying Daggers,Action,7.5,Yimou Zhang,,92863945.0,Andy Lau,11041228.0,Takeshi Kaneshiro,100000000.0,92863945.0,100000000.0
