name,genre,score,director,star,budget_x,gross_x,director_name,actor_2_name,gross_y,genres,actor_1_name,movie_title,budget_y,imdb_score
Poltergeist,Horror,4.9,Gil Kenan,Sam Rockwell,35000000.0,95437994.0,Tobe Hooper,Zelda Rubinstein,76600000.0,Fantasy|Horror,Heather O'Rourke,Poltergeist,10700000.0,7.4
Star Trek II: The Wrath of Khan,Action,7.7,Nicholas Meyer,William Shatner,11200000.0,78912963.0,Nicholas Meyer,Kirstie Alley,78900000.0,Action|Adventure|Sci-Fi,Leonard Nimoy,Star Trek II: The Wrath of Khan,11000000.0,7.7
Gandhi,Biography,8.0,Richard Attenborough,Ben Kingsley,22000000.0,52767889.0,Richard Attenborough,Amrish Puri,,Biography|Drama|History,Candice Bergen,Gandhi,22000000.0,8.1
Tootsie,Comedy,7.4,Sydney Pollack,Dustin Hoffman,21000000.0,177200000.0,Sydney Pollack,Sydney Pollack,177200000.0,Comedy|Drama|Romance,Bill Murray,Tootsie,22000000.0,7.4
The Beastmaster,Action,6.2,Don Coscarelli,Marc Singer,8000000.0,14056528.0,Don Coscarelli,John Amos,,Action|Adventure|Fantasy,Vanna Bonta,The Beastmaster,8000000.0,6.2
Creepshow,Comedy,6.9,George A. Romero,Hal Holbrook,8000000.0,21028755.0,George A. Romero,Hal Holbrook,,Comedy|Fantasy|Horror,Ted Danson,Creepshow,8000000.0,6.9
Creepshow,Comedy,6.9,George A. Romero,Hal Holbrook,8000000.0,21028755.0,George A. Romero,Hal Holbrook,,Comedy|Fantasy|Horror,Ted Danson,Creepshow,8000000.0,6.9
The Man from Snowy River,Adventure,7.3,George Miller,Kirk Douglas,3500000.0,20659423.0,George Miller,Jack Thompson,,Adventure|Drama|Family|Romance|Western,Tony Bonner,The Man from Snowy River,3500000.0,7.3
Cat People,Fantasy,6.2,Paul Schrader,Nastassja Kinski,18000000.0,7000000.0,Paul Schrader,Ruby Dee,,Fantasy|Horror|Thriller,Ed Begley Jr.,Cat People,18000000.0,6.1
Cat People,Fantasy,6.2,Paul Schrader,Nastassja Kinski,18000000.0,7000000.0,Paul Schrader,Ruby Dee,,Fantasy|Horror|Thriller,Ed Begley Jr.,Cat People,18000000.0,6.1
Friday the 13th Part III,Horror,5.7,Steve Miner,Dana Kimmell,2300000.0,36690067.0,Steve Miner,Dana Kimmell,36200000.0,Horror|Thriller,Richard Brooker,Friday the 13th Part III,4000000.0,5.7
Firefox,Action,6.0,Clint Eastwood,Clint Eastwood,18000000.0,46708276.0,Clint Eastwood,Warren Clarke,46700000.0,Action|Adventure|Thriller,Clint Eastwood,Firefox,21000000.0,5.9
