Movie_Title,Director,Actors,Total_Gross,main_genre
Blues Brothers 2000,John Landis,"Dan Aykroyd, John Goodman, Walter Levine, Tom Davis",$13.98M,Action
Police Academy 4: Citizens on Patrol,Jim Drake,"Steve Guttenberg, Bubba Smith, Michael Winslow, David Graf",$28.06M,Comedy
Texas Chainsaw Massacre,David Blue Garcia,"Sarah Yarkin, Elsie Fisher, Mark Burnham, Jacob Latimore",Gross Unkown,Crime
Tekken,Dwight H. Little,"Jonathan Patrick Foo, Kelly Overton, Cary-Hiroyuki Tagawa, Ian Anthony Dale",Gross Unkown,Action
Crocodile Dundee in Los Angeles,Simon Wincer,"Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks",$25.64M,Action
The Spirit,Frank Miller,"Gabriel Macht, Samuel L. Jackson, Scarlett Johansson, Jaime King",$19.78M,Action
Big Momma's House 2,John Whitesell,"Martin Lawrence, Emily Procter, Nia Long, Zachary Levi",$70.17M,Comedy
Elektra,Rob Bowman,"Jennifer Garner, Goran Visnjic, Will Yun Lee, Kirsten Zien",$24.41M,Action
Death Note,Adam Wingard,"Nat Wolff, LaKeith Stanfield, Margaret Qualley, Shea Whigham",Gross Unkown,Crime
Taxi,Tim Story,"Queen Latifah, Jimmy Fallon, Gisele Bündchen, Henry Simmons",$36.61M,Action
Home Alone 3,Raja Gosnell,"Alex D. Linz, Olek Krupa, Rya Kihlstedt, Lenny von Dohlen",$30.88M,Action
Striptease,Andrew Bergman,"Demi Moore, Burt Reynolds, Armand Assante, Ving Rhames",$33.11M,Comedy
Police Academy 5: Assignment: Miami Beach,Alan Myerson,"Bubba Smith, David Graf, Michael Winslow, Leslie Easterbrook",$4.24M,Comedy
Paul Blart: Mall Cop 2,Andy Fickman,"Kevin James, Raini Rodriguez, Eduardo Verástegui, Daniella Alonso",$71.04M,Action
"Big Mommas: Like Father, Like Son",John Whitesell,"Martin Lawrence, Brandon T. Jackson, Jessica Lucas, Michelle Ang",$37.92M,Action
Little Man,Keenen Ivory Wayans,"Shawn Wayans, Marlon Wayans, Kerry Washington, John Witherspoon",$58.65M,Comedy
xXx: State of the Union,Lee Tamahori,"Ice Cube, Samuel L. Jackson, Willem Dafoe, Scott Speedman",$26.87M,Action
Kangaroo Jack,David McNally,"Anthony Anderson, Jerry O'Connell, Estella Warren, Christopher Walken",$66.93M,Action
Police Academy 6: City Under Siege,Peter Bonerz,"Bubba Smith, David Graf, Michael Winslow, Leslie Easterbrook",$11.57M,Comedy
Torque,Joseph Kahn,"Martin Henderson, Ice Cube, Monet Mazur, John Ashker",$21.22M,Action
Inspector Gadget,David Kellogg,"Matthew Broderick, Rupert Everett, Joely Fisher, Michelle Trachtenberg",$97.40M,Action
RoboCop 3,Fred Dekker,"Robert John Burke, Nancy Allen, Mario Machado, Remy Ryan",$10.70M,Action
Holmes & Watson,Etan Cohen,"Will Ferrell, John C. Reilly, Ralph Fiennes, Rebecca Hall",$30.57M,Comedy
Speed 2: Cruise Control,Jan de Bont,"Sandra Bullock, Jason Patric, Willem Dafoe, Temuera Morrison",$48.61M,Action
Escape Plan 2: Hades,Steven C. Miller,"Sylvester Stallone, Dave Bautista, Xiaoming Huang, Jesse Metcalfe",Gross Unkown,Action
Catwoman,Pitof,"Halle Berry, Sharon Stone, Benjamin Bratt, Lambert Wilson",$40.20M,Action
Police Academy: Mission to Moscow,Alan Metter,"G.W. Bailey, George Gaynes, Michael Winslow, David Graf",$0.13M,Comedy
Heropanti 2,Ahmed Khan,"Tiger Shroff, Nawazuddin Siddiqui, Tara Sutaria, Amber Doig-Thorne",Gross Unkown,Action
Gigli,Martin Brest,"Ben Affleck, Jennifer Lopez, Justin Bartha, Terry Camilleri",$6.07M,Comedy
Baby Geniuses,Bob Clark,"Kathleen Turner, Christopher Lloyd, Kim Cattrall, Peter MacNicol",$27.14M,Comedy
Kod Adi K.O.Z.,Celal Çimen,"Cem Kurtoglu, Hakan Ural, Hazim Körmükcü, Tolga Karel",Gross Unkown,Crime
Race 3,Remo D'Souza,"Anil Kapoor, Salman Khan, Bobby Deol, Jacqueline Fernandez",$1.69M,Action
Radhe,Prabhu Deva,"Salman Khan, Disha Patani, Randeep Hooda, Jackie Shroff",Gross Unkown,Action
Elk*rtuk,Keith English,"Vivianne Bánovits, András Mózes, Barna Bokor, Gabriella Gubás",Gross Unkown,Action
The Great Escape,John Sturges,"Steve McQueen, James Garner, Richard Attenborough, Charles Bronson",$12.10M,Adventure
Da hong deng long gao gao gua,Yimou Zhang,"Gong Li, Jingwu Ma, Saifei He, Cuifen Cao",$2.60M,Drama
Kumonosu-jô,Akira Kurosawa,"Toshirô Mifune, Minoru Chiaki, Isuzu Yamada, Takashi Shimura",Gross Unkown,Drama
"Quo vadis, Aida?",Jasmila Zbanic,"Jasna Djuricic, Izudin Bajrovic, Boris Ler, Dino Bajrovic",Gross Unkown,Drama
JFK,Oliver Stone,"Kevin Costner, Gary Oldman, Jack Lemmon, Walter Matthau",$70.41M,Drama
Il gattopardo,Luchino Visconti,"Burt Lancaster, Alain Delon, Claudia Cardinale, Paolo Stoppa",Gross Unkown,Drama
