name,genre,score,director,star,budget,gross
The Beyond,Horror,6.8,Lucio Fulci,Catriona MacColl,400000.0,123843.0
Ghost Story,Drama,6.3,John Irvin,Craig Wasson,,23371905.0
My Bloody Valentine,Horror,6.3,George Mihalka,Paul Kelman,,5672031.0
The Funhouse,Horror,5.9,Tobe Hooper,Elizabeth Berridge,,7886857.0
One from the Heart,Drama,6.5,Francis Ford Coppola,Frederic Forrest,26000000.0,636796.0
The French Lieutenant's Woman,Drama,7.0,Karel Reisz,Meryl Streep,,26890068.0
The Great Muppet Caper,Adventure,7.2,Jim Henson,Jim Henson,,31206251.0
True Confessions,Crime,6.3,Ulu Grosbard,Robert De Niro,10000000.0,12850276.0
Looker,Drama,6.1,Michael Crichton,Albert Finney,8000000.0,
Nighthawks,Action,6.4,Bruce Malmuth,Sylvester Stallone,5000000.0,19905359.0
Nice Dreams,Comedy,6.2,Tommy Chong,Cheech Marin,,37000000.0
Sharky's Machine,Action,6.3,Burt Reynolds,Burt Reynolds,,35610100.0
Neighbors,Comedy,5.6,John G. Avildsen,John Belushi,8500000.0,29916207.0
Puberty Blues,Comedy,5.9,Bruce Beresford,Nell Schofield,,237000.0
Eye of the Needle,Romance,7.1,Richard Marquand,Donald Sutherland,,17583634.0
Wolfen,Horror,6.3,Michael Wadleigh,Albert Finney,17000000.0,10626725.0
Student Bodies,Comedy,5.5,Mickey Rose,Kristen Riter,,5165432.0
Prince of the City,Crime,7.5,Sidney Lumet,Treat Williams,8600000.0,8124257.0
The Hand,Drama,5.5,Oliver Stone,Michael Caine,,2447576.0
Continental Divide,Comedy,6.2,Michael Apted,John Belushi,,15578237.0
Diva,Music,7.2,Jean-Jacques Beineix,Wilhelmenia Fernandez,,110014.0
Venom,Horror,5.8,Piers Haggard,Klaus Kinski,,5229643.0
Fort Apache the Bronx,Crime,6.7,Daniel Petrie,Paul Newman,,29200000.0
Eyes of a Stranger,Horror,6.0,Ken Wiederhorn,Lauren Tewes,800000.0,1118634.0
Zorro: The Gay Blade,Action,6.2,Peter Medak,George Hamilton,,
Under the Rainbow,Comedy,5.4,Steve Rash,Chevy Chase,20000000.0,18826490.0
Carbon Copy,Comedy,5.6,Michael Schultz,George Segal,6000000.0,9566593.0
The Incredible Shrinking Woman,Comedy,5.5,Joel Schumacher,Lily Tomlin,,20259961.0
The Night the Lights Went Out in Georgia,Drama,6.0,Ron Maxwell,Kristy McNichol,,14923752.0
Quartet,Drama,6.3,James Ivory,Isabelle Adjani,,12042.0
Graduation Day,Horror,4.9,Herb Freed,Christopher George,250000.0,
Modern Problems,Comedy,5.1,Ken Shapiro,Chevy Chase,8000000.0,26154211.0
Pennies from Heaven,Drama,6.5,Herbert Ross,Steve Martin,22000000.0,9171289.0
American Pop,Animation,7.2,Ralph Bakshi,Mews Small,1500000.0,
The Legend of the Lone Ranger,Action,5.1,William A. Fraker,Klinton Spilsbury,18000000.0,12617845.0
Sphinx,Adventure,5.2,Franklin J. Schaffner,Lesley-Anne Down,14000000.0,2022771.0
Night School,Horror,5.6,Ken Hughes,Leonard Mann,,1169875.0
An Eye for an Eye,Action,5.5,Steve Carver,Chuck Norris,3800000.0,
Zoot Suit,Drama,6.8,Luis Valdez,Daniel Valdez,2700000.0,3256082.0
Rich and Famous,Drama,5.9,George Cukor,Jacqueline Bisset,,14492125.0
Buddy Buddy,Comedy,6.5,Billy Wilder,Jack Lemmon,10000000.0,7258543.0
Bustin' Loose,Comedy,6.1,Oz Scott,Richard Pryor,11000000.0,31261269.0
Modern Romance,Comedy,7.0,Albert Brooks,Albert Brooks,,2863642.0
Heartbeeps,Comedy,4.3,Allan Arkush,Andy Kaufman,12000000.0,2154696.0
Back Roads,Adventure,5.6,Martin Ritt,Sally Field,,11809387.0
Take This Job and Shove It,Comedy,5.0,Gus Trikonis,Robert Hays,3500000.0,17569027.0
Raggedy Man,Drama,6.8,Jack Fisk,Sissy Spacek,,1976198.0
Whose Life Is It Anyway?,Comedy,7.3,John Badham,Richard Dreyfuss,13000000.0,8206145.0
Inchon,Drama,2.7,Terence Young,Laurence Olivier,46000000.0,5200986.0
All Night Long,Comedy,5.5,Jean-Claude Tramont,Gene Hackman,14000000.0,4454295.0
The Pursuit of D.B. Cooper,Adventure,5.6,Roger Spottiswoode,Robert Duvall,12000000.0,3702028.0
Rollover,Drama,5.4,Alan J. Pakula,Jane Fonda,16000000.0,10851261.0
Only When I Laugh,Comedy,6.5,Glenn Jordan,Marsha Mason,,25524778.0
Honky Tonk Freeway,Action,5.2,John Schlesinger,David Rasche,24000000.0,2004742.0
Paternity,Comedy,4.9,David Steinberg,Burt Reynolds,,18838812.0
King of the Mountain,Action,5.5,Noel Nosseck,Harry Hamlin,2000000.0,1791147.0
Scream,Horror,2.9,Byron Quisenberry,Pepper Martin,,
The Devil and Max Devlin,Comedy,5.0,Steven Hilliard Stern,Elliott Gould,,16000000.0
The Amateur,Crime,5.8,Charles Jarrott,John Savage,,6892098.0
Longshot,Comedy,5.1,E.W. Swackhamer,Leif Garrett,,
Comin' at Ya!,Western,5.1,Ferdinando Baldi,Tony Anthony,,12000000.0
Le Pont du Nord,Adventure,6.9,Jacques Rivette,Bulle Ogier,,17110.0
Silence of the North,Drama,6.3,Allan King,Ellen Burstyn,,1622898.0
Fast Times at Ridgemont High,Comedy,7.2,Amy Heckerling,Sean Penn,4500000.0,27092880.0
Blade Runner,Action,8.1,Ridley Scott,Harrison Ford,28000000.0,41676878.0
The Thing,Horror,8.1,John Carpenter,Kurt Russell,15000000.0,19632053.0
Conan the Barbarian,Action,6.9,John Milius,Arnold Schwarzenegger,20000000.0,68851475.0
E.T. the Extra-Terrestrial,Family,7.8,Steven Spielberg,Henry Thomas,10500000.0,792910554.0
First Blood,Action,7.7,Ted Kotcheff,Sylvester Stallone,15000000.0,125212904.0
An Officer and a Gentleman,Drama,7.0,Taylor Hackford,Richard Gere,7500000.0,129795554.0
Grease 2,Comedy,4.4,Patricia Birch,Michelle Pfeiffer,13200000.0,15171476.0
Annie,Comedy,6.6,John Huston,Aileen Quinn,50000000.0,57063861.0
Poltergeist,Horror,7.3,Tobe Hooper,JoBeth Williams,10700000.0,77142388.0
48 Hrs.,Action,6.9,Walter Hill,Nick Nolte,12000000.0,78868508.0
Star Trek II: The Wrath of Khan,Action,7.7,Nicholas Meyer,William Shatner,11200000.0,78912963.0
Paradise,Adventure,4.9,Stuart Gillard,Willie Aames,,5588800.0
The Last American Virgin,Comedy,6.3,Boaz Davidson,Lawrence Monoson,,5829781.0
Sophie's Choice,Drama,7.6,Alan J. Pakula,Meryl Streep,12000000.0,30036000.0
Gandhi,Biography,8.0,Richard Attenborough,Ben Kingsley,22000000.0,52767889.0
Tootsie,Comedy,7.4,Sydney Pollack,Dustin Hoffman,21000000.0,177200000.0
Tron,Action,6.8,Steven Lisberger,Jeff Bridges,17000000.0,33000525.0
The Secret of NIMH,Animation,7.6,Don Bluth,Elizabeth Hartman,7000000.0,14665733.0
The King of Comedy,Comedy,7.8,Martin Scorsese,Robert De Niro,20000000.0,2536242.0
Rocky III,Drama,6.8,Sylvester Stallone,Sylvester Stallone,17000000.0,125052686.0
The Beastmaster,Action,6.2,Don Coscarelli,Marc Singer,8000000.0,14056528.0
Creepshow,Comedy,6.9,George A. Romero,Hal Holbrook,8000000.0,21028755.0
The Man from Snowy River,Adventure,7.3,George Miller,Kirk Douglas,3500000.0,20659423.0
