name,genre,score,director,actor_2_name,actor_1_name,gross,budget
Love Letters,Drama,5.9,Amy Holden Jones,Sally Kirkland,Jamie Lee Curtis,5269990.0,550000.0
The Terminator,Action,8.0,James Cameron,Brian Thompson,Michael Biehn,78371200.0,6500000.0
Dune,Action,6.5,David Lynch,Jürgen Prochnow,Virginia Madsen,30925690.0,40000000.0
Ghostbusters,Action,7.8,Ivan Reitman,Kate McKinnon,Ed Begley Jr.,296187079.0,144000000.0
The Karate Kid,Action,7.3,John G. Avildsen,William Zabka,Martin Kove,91119319.0,8000000.0
Once Upon a Time in America,Crime,8.4,Sergio Leone,Burt Young,Robert De Niro,5473212.0,30000000.0
Police Academy,Comedy,6.7,Hugh Wilson,Bubba Smith,Steve Guttenberg,81198894.0,4500000.0
Indiana Jones and the Temple of Doom,Action,7.5,Steven Spielberg,Amrish Puri,Harrison Ford,333107271.0,28000000.0
Body Double,Crime,6.8,Brian De Palma,Dennis Franz,Melanie Griffith,8801940.0,10000000.0
A Nightmare on Elm Street,Horror,7.5,Wes Craven,Lin Shaye,Johnny Depp,25507137.0,1800000.0
Amadeus,Biography,8.3,Milos Forman,F. Murray Abraham,Jeffrey Jones,52066791.0,18000000.0
Beverly Hills Cop,Action,7.3,Martin Brest,Ronny Cox,Judge Reinhold,316360478.0,14000000.0
Red Dawn,Action,6.4,John Milius,Jennifer Grey,Lea Thompson,38376497.0,16900000.0
The NeverEnding Story,Adventure,7.4,Wolfgang Petersen,Barret Oliver,Gerald McRaney,20251411.0,27000000.0
Footloose,Drama,6.6,Herbert Ross,Chris Penn,Dianne Wiest,80039064.0,8200000.0
Gremlins,Comedy,7.3,Joe Dante,Harry Carey Jr.,Phoebe Cates,153633143.0,11000000.0
Conan the Destroyer,Action,5.9,Richard Fleischer,Olivia d'Abo,Mako,31042035.0,18000000.0
